"Subject","Activity","MeanSamples"
1,"tBodyAcc-mean()-X",-0.193204572492262
1,"tBodyAcc-mean()-Y",-0.315336808393305
1,"tBodyAcc-mean()-Z",-0.149358035365099
1,"tBodyAcc-std()-X",-0.725010256710861
1,"tBodyAcc-std()-Y",-0.751886863913404
1,"tBodyAcc-std()-Z",-0.681581978523055
2,"tBodyAcc-mean()-X",-0.32544820638322
2,"tBodyAcc-mean()-Y",-0.27094863788048
2,"tBodyAcc-mean()-Z",-0.106411521321941
2,"tBodyAcc-std()-X",-0.737361985616243
2,"tBodyAcc-std()-Y",-0.739970261016944
2,"tBodyAcc-std()-Z",-0.743126753233842
3,"tBodyAcc-mean()-X",-0.317947801074047
3,"tBodyAcc-mean()-Y",-0.358357567758965
3,"tBodyAcc-mean()-Z",-0.232708366871836
3,"tBodyAcc-std()-X",-0.707845449974583
3,"tBodyAcc-std()-Y",-0.712068206745217
3,"tBodyAcc-std()-Z",-0.734347688677236
4,"tBodyAcc-mean()-X",-0.392128132692634
4,"tBodyAcc-mean()-Y",-0.341355950186464
4,"tBodyAcc-mean()-Z",-0.281840698460603
4,"tBodyAcc-std()-X",-0.717843420704141
4,"tBodyAcc-std()-Y",-0.705320467661402
4,"tBodyAcc-std()-Z",-0.728668034663377
5,"tBodyAcc-mean()-X",-0.290846535887125
5,"tBodyAcc-mean()-Y",-0.244346694233246
5,"tBodyAcc-mean()-Z",-0.149721994636294
5,"tBodyAcc-std()-X",-0.71816250875378
5,"tBodyAcc-std()-Y",-0.698248943096751
5,"tBodyAcc-std()-Z",-0.739085358855865
6,"tBodyAcc-mean()-X",-0.231135633132547
6,"tBodyAcc-mean()-Y",-0.189984813956898
6,"tBodyAcc-mean()-Z",-0.000804104618582071
6,"tBodyAcc-std()-X",-0.7166252231237
6,"tBodyAcc-std()-Y",-0.723169679977658
6,"tBodyAcc-std()-Z",-0.714481502407656
7,"tBodyAcc-mean()-X",-0.184567020446338
7,"tBodyAcc-mean()-Y",-0.362851021783283
7,"tBodyAcc-mean()-Z",-0.164658253921528
7,"tBodyAcc-std()-X",-0.712354376735631
7,"tBodyAcc-std()-Y",-0.725824852727622
7,"tBodyAcc-std()-Z",-0.723857064735047
8,"tBodyAcc-mean()-X",-0.16056841343373
8,"tBodyAcc-mean()-Y",-0.146879782054871
8,"tBodyAcc-mean()-Z",-0.00103612319688198
8,"tBodyAcc-std()-X",-0.72745694109493
8,"tBodyAcc-std()-Y",-0.735324128855415
8,"tBodyAcc-std()-Z",-0.722406520353446
9,"tBodyAcc-mean()-X",-0.286806225658878
9,"tBodyAcc-mean()-Y",-0.352322249173958
9,"tBodyAcc-mean()-Z",-0.162548480947928
9,"tBodyAcc-std()-X",-0.704523755500333
9,"tBodyAcc-std()-Y",-0.719415113824515
9,"tBodyAcc-std()-Z",-0.726146510489097
10,"tBodyAcc-mean()-X",-0.207316119201447
10,"tBodyAcc-mean()-Y",-0.214657479004489
10,"tBodyAcc-mean()-Z",-0.108732322835411
10,"tBodyAcc-std()-X",-0.73712845579557
10,"tBodyAcc-std()-Y",-0.721542732014904
10,"tBodyAcc-std()-Z",-0.751454042087244
11,"tBodyAcc-mean()-X",-0.379016958409591
11,"tBodyAcc-mean()-Y",-0.370962843516591
11,"tBodyAcc-mean()-Z",-0.220718087092131
11,"tBodyAcc-std()-X",-0.730213416461106
11,"tBodyAcc-std()-Y",-0.747503181881309
11,"tBodyAcc-std()-Z",-0.739250481303299
12,"tBodyAcc-mean()-X",-0.256034499452433
12,"tBodyAcc-mean()-Y",-0.354006222470134
12,"tBodyAcc-mean()-Z",-0.179277771565335
12,"tBodyAcc-std()-X",-0.727919507003818
12,"tBodyAcc-std()-Y",-0.719351505561252
12,"tBodyAcc-std()-Z",-0.72760644728624
13,"tBodyAcc-mean()-X",-0.210988794167055
13,"tBodyAcc-mean()-Y",-0.330641118753785
13,"tBodyAcc-mean()-Z",-0.170802030677804
13,"tBodyAcc-std()-X",-0.735239423441511
13,"tBodyAcc-std()-Y",-0.742391626905495
13,"tBodyAcc-std()-Z",-0.731168410513377
14,"tBodyAcc-mean()-X",-0.288349500486322
14,"tBodyAcc-mean()-Y",-0.111119139268373
14,"tBodyAcc-mean()-Z",0.00341910027488552
14,"tBodyAcc-std()-X",-0.730278809106672
14,"tBodyAcc-std()-Y",-0.733750919831609
14,"tBodyAcc-std()-Z",-0.706780359580511
15,"tBodyAcc-mean()-X",-0.306114313281622
15,"tBodyAcc-mean()-Y",-0.294341669544798
15,"tBodyAcc-mean()-Z",-0.114055542511411
15,"tBodyAcc-std()-X",-0.733838697315558
15,"tBodyAcc-std()-Y",-0.733951795404
15,"tBodyAcc-std()-Z",-0.732694054370465
16,"tBodyAcc-mean()-X",-0.383138718688577
16,"tBodyAcc-mean()-Y",-0.382992324573922
16,"tBodyAcc-mean()-Z",-0.21577265313244
16,"tBodyAcc-std()-X",-0.734763414612203
16,"tBodyAcc-std()-Y",-0.744597444550344
16,"tBodyAcc-std()-Z",-0.743287358888657
17,"tBodyAcc-mean()-X",-0.309280113929322
17,"tBodyAcc-mean()-Y",-0.302507349895375
17,"tBodyAcc-mean()-Z",-0.233445826587078
17,"tBodyAcc-std()-X",-0.747004627057666
17,"tBodyAcc-std()-Y",-0.753476669240357
17,"tBodyAcc-std()-Z",-0.731324690617382
18,"tBodyAcc-mean()-X",-0.394478845416299
18,"tBodyAcc-mean()-Y",-0.42646923228292
18,"tBodyAcc-mean()-Z",-0.377526737575512
18,"tBodyAcc-std()-X",-0.743850843467203
18,"tBodyAcc-std()-Y",-0.744424330919073
18,"tBodyAcc-std()-Z",-0.746133039821382
19,"tBodyAcc-mean()-X",-0.0739875703910806
19,"tBodyAcc-mean()-Y",-0.196891295749223
19,"tBodyAcc-mean()-Z",0.154941520892261
19,"tBodyAcc-std()-X",-0.728175891288928
19,"tBodyAcc-std()-Y",-0.73554803643265
19,"tBodyAcc-std()-Z",-0.742143249540819
20,"tBodyAcc-mean()-X",-0.0954032717082775
20,"tBodyAcc-mean()-Y",-0.205762872215166
20,"tBodyAcc-mean()-Z",-0.0458055951405788
20,"tBodyAcc-std()-X",-0.726102407642704
20,"tBodyAcc-std()-Y",-0.703585407231564
20,"tBodyAcc-std()-Z",-0.737847526254904
21,"tBodyAcc-mean()-X",-0.239612750488894
21,"tBodyAcc-mean()-Y",-0.298692900152311
21,"tBodyAcc-mean()-Z",-0.139645365609202
21,"tBodyAcc-std()-X",-0.743125990670937
21,"tBodyAcc-std()-Y",-0.740332493442983
21,"tBodyAcc-std()-Z",-0.729316795500066
22,"tBodyAcc-mean()-X",-0.161843378710114
22,"tBodyAcc-mean()-Y",-0.191712185339628
22,"tBodyAcc-mean()-Z",-0.147381918801591
22,"tBodyAcc-std()-X",-0.720164924412542
22,"tBodyAcc-std()-Y",-0.726785296080127
22,"tBodyAcc-std()-Z",-0.718920180798411
23,"tBodyAcc-mean()-X",-0.0969339947223061
23,"tBodyAcc-mean()-Y",-0.25943590535943
23,"tBodyAcc-mean()-Z",-0.00547247287462682
23,"tBodyAcc-std()-X",-0.726113491116866
23,"tBodyAcc-std()-Y",-0.735074230891955
23,"tBodyAcc-std()-Z",-0.738453366680006
24,"tBodyAcc-mean()-X",-0.356957437224817
24,"tBodyAcc-mean()-Y",-0.362618588027219
24,"tBodyAcc-mean()-Z",-0.241425533951455
24,"tBodyAcc-std()-X",-0.737144249115584
24,"tBodyAcc-std()-Y",-0.734420049761198
24,"tBodyAcc-std()-Z",-0.738162801094621
25,"tBodyAcc-mean()-X",-0.42015627084922
25,"tBodyAcc-mean()-Y",-0.435418743421543
25,"tBodyAcc-mean()-Z",-0.345951992614543
25,"tBodyAcc-std()-X",-0.737614646951336
25,"tBodyAcc-std()-Y",-0.739256665905592
25,"tBodyAcc-std()-Z",-0.6550466559966
26,"tBodyAcc-mean()-X",-0.318740418835688
26,"tBodyAcc-mean()-Y",-0.330337988544182
26,"tBodyAcc-mean()-Z",-0.175493103647397
26,"tBodyAcc-std()-X",-0.732209186814351
26,"tBodyAcc-std()-Y",-0.740410224586124
26,"tBodyAcc-std()-Z",-0.744683873718817
27,"tBodyAcc-mean()-X",-0.315300610673124
27,"tBodyAcc-mean()-Y",-0.368009684288904
27,"tBodyAcc-mean()-Z",-0.180615867943192
27,"tBodyAcc-std()-X",-0.738607565821911
27,"tBodyAcc-std()-Y",-0.743828559458429
27,"tBodyAcc-std()-Z",-0.747039773104429
28,"tBodyAcc-mean()-X",-0.313871992811888
28,"tBodyAcc-mean()-Y",-0.323401541369843
28,"tBodyAcc-mean()-Z",-0.139396563077246
28,"tBodyAcc-std()-X",-0.731041115599865
28,"tBodyAcc-std()-Y",-0.712417065277087
28,"tBodyAcc-std()-Z",-0.749711337306598
29,"tBodyAcc-mean()-X",-0.256846692509308
29,"tBodyAcc-mean()-Y",-0.231956730511577
29,"tBodyAcc-mean()-Z",-0.178812689061223
29,"tBodyAcc-std()-X",-0.739022156685121
29,"tBodyAcc-std()-Y",-0.746979641390065
29,"tBodyAcc-std()-Z",-0.747047283845479
30,"tBodyAcc-mean()-X",-0.267020565167016
30,"tBodyAcc-mean()-Y",-0.33891298828135
30,"tBodyAcc-mean()-Z",-0.217523391374438
30,"tBodyAcc-std()-X",-0.732058477455571
30,"tBodyAcc-std()-Y",-0.714291901922109
30,"tBodyAcc-std()-Z",-0.73371945664569
